"SDG region","Sex","%"
"Developed regions (46)","W",3.8
"","M",5.5
"Latin America and the Caribbean (19)","W",6.2
"","M",9.9
"Eastern and South-Eastern Asia excl. Japan (11)","W",10.2
"","M",16.1
"Sub-Saharan Africa (34)","W",10.5
"","M",16.6
"Western Asia and Northern Africa excl. Cyprus and Israel (18)","W",17.1
"","M",33.8
"Central and Southern Asia (11)","W",24.9
"","M",36.5
