,2023_x,2023_y
0,0,5
1,2,18
2,0,4
3,2,4
4,1,6
5,1,2
6,1,3
7,4,51
8,3,13
9,1,3
10,8,15
11,1,1
12,2,19
13,44,379
14,44,385
15,5,7
16,0,9
17,0,1
18,1,1
19,2,14
20,2,86
21,4,5
22,2,42
23,1,2
24,3,11
25,3,5
26,1,56
27,0,56
28,0,11
29,0,6
30,4,2
31,3,8
32,0,16
33,0,4
34,0,40
35,0,3
36,4,41
37,1,3
38,0,1
39,2,5
40,0,6
41,0,2
