"type","space holder","Number of countries"
"Joint registration of land compulsory or encouraged through economic incentives ",3,6
"Compulsory spousal consent for land transactions",1.5,10
"Women's and girls' equal inheritance rights",1,11
"Allocation of financial resources to increase women’s ownership and control over land",4.5,3
"In legal systems that recognise customary land tenure, existence of explicit protection of the land rights of women",5,2
"Mandatory quotas for women’s participation in land management and administration institutions",3.5,5
