"Country","Level"
"Colombia",6
"Sweden",5
"Serbia",5
"Portugal",5
"Nicaragua",5
"Uruguay",4
"Switzerland",4
"Slovakia",4
"Italy",4
"Uzbekistan",3
"Belarus",3
"Suriname",2
"Qatar",1
"Pakistan",1
"Jordan",1
