"Year","Share of female police officers"
"2004",10.1
"2005",10.2
"2006",10.3
"2007",10.4
"2008",10.5
"2009",10.6
"2010",10.7
"2011",10.9
"2012",11.4
"2013",11.7
"2014",12.2
"2015",12.2
"2016",12.7
"2017",12.9
