Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,1999
Entity\Sex,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women
Civil Service Tribunal,,,,,,,,0,1,1,2,2,2,2,2,1,1,,,,,
European Court of Human Rights,17,15,16,16,15,17,16,16,14,18,18,17,19,17,17,17,14,,,,,
General Court,18,16,16,15,11,10,10,9,6,6,6,6,6,6,6,11,7,9,9,9,3,2
Court of Justice of the European Union,24,22,22,20,16,15,15,14,12,12,12,12,13,13,12,15,14,14,13,13,6,3
European Court of Justice,6,6,6,5,5,5,5,5,5,5,4,4,5,5,4,3,6,5,4,4,3,1
