Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,1999
Entity\Sex,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men
Civil Service Tribunal,,,,,,,,7,6,6,5,5,5,5,5,6,6,,,,,
European Court of Human Rights,29,32,31,31,32,30,31,31,30,29,29,29,27,29,29,30,31,,,,,
General Court,36,36,34,35,35,36,34,29,22,22,21,20,21,21,21,16,20,16,16,16,12,13
Court of Justice of the European Union,57,57,55,56,57,59,57,59,51,51,49,48,48,48,49,46,55,44,45,45,32,36
European Court of Justice,21,21,21,21,22,23,23,23,23,23,23,23,22,22,23,24,29,28,29,29,20,23
