Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,1999
Entity\Sex,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Civil Service Tribunal,,,,,,,,7,7,7,7,7,7,7,7,7,7,,,,,
European Court of Human Rights,46,47,47,47,47,47,47,47,44,47,47,46,46,46,46,47,45,,,,,
General Court,54,52,50,50,46,46,44,38,28,28,27,26,27,27,27,27,27,25,25,25,15,15
Court of Justice of the European Union,81,79,77,76,73,74,72,73,63,63,61,60,61,61,61,61,69,58,58,58,38,39
European Court of Justice,27,27,27,26,27,28,28,28,28,28,27,27,27,27,27,27,35,33,33,33,23,24
