"Economic sector","3+ women on board","1 and 2 women on board","No women on board"
"Financials (476)",45,41,14
"Utilities (138)",43,38,19
"Health Care (216)",42,46,12
"Consumer Staples (219)",41,42,17
"Communication Services (172)",37,42,22
"Consumer Discretionary (322)",35,47,19
"Energy (131)",33,48,19
"Industrials (416)",31,44,25
"Materials (248)",30.9,50,19.7
"Real Estate (167)",28,54,18
"Information Technology (258)",28,50,22
