"Region","Board seats held by women","Board chairs that are women"
"Australia and New Zealand (2/254)",26.1,7.1
"Europe (28/1942)",25.8,6.9
"Africa (3/132)",24.3,12
"North America (2/3322)",18,4.5
"Caribbean (3/59) ",14.4,1.7
"Middle East (3/160)",9.5,4.5
"Asia (13/2399)",9.3,4.2
"Latin America (6/243)",7.9,5.2
