"Region","Position","Women","Men"
"Latin America (6/243)","Board chair",17.8,7.5
"","CEO",-,-
"Asia (13/2399)","Board chair",19.2,9.9
"","CEO",21.6,8.8
"North America (2/3322)","Board chair",29.6,17.6
"","CEO",30.3,17.4
"Africa (3/132)","Board chair",33,23.1
"","CEO",-,-
"Europe (28/1942)","Board chair",31.8,25.4
"","CEO",34.8,25.4
"Australia and New Zealand (2/254)","Board chair",35.8,25.4
"","CEO",34.7,25.7
