"Year","MSCI ACWI (2765)","MSCI World (1630)","MSCI Emerging Market (1135)"
"2014",15.9,15.9,7.1
"2015",15,18.1,8.4
"2016",15.8,18.9,9
"2017",17.3,20.4,10.2
"2018",17.9,21.6,11.2
"2019",20,25,12.1
