"Sex","Cash only","Cash and in-kind","In-kind only","Employed without payment"
"Men",69.9717948717949,13.774358974359,2.54358974358974,13.6538461538462
"Women",60.7589743589744,13.4666666666667,4.18461538461538,21.4871794871795
