Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Entity\Sex,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men
European Central Bank,24,23,23,23,23,23,23,23,23,22,23,22,23,21,21,20,18,16,16,16,16
European Investment Bank,20,19,21,24,25,22,25,23,26,27,25,25,23,23,23,25,24,23,23,23,12
European Investment Fund,3,5,3,3,5,6,6,5,5,6,6,6,6,6,6,6,7,10,5,5,5
Total,47,47,47,50,53,51,54,51,54,55,54,53,52,50,50,51,49,49,44,44,33
