Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Entity\Sex,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
European Central Bank,26,25,25,25,25,25,25,25,25,24,23,22,23,22,22,21,19,17,17,17,17
European Investment Bank,27,27,27,27,28,28,28,28,28,28,27,27,27,27,27,27,27,24,24,24,14
European Investment Fund,6,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,10,6,6,5
Total,59,59,57,58,60,60,60,60,60,59,57,56,57,56,56,55,53,51,47,47,36
