Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Entity\Sex,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women,Women
European Central Bank,7.7,8,8,8,8,8,8,8,8,8.3,0,0,0,4.5,4.5,4.8,5.3,5.9,5.9,5.9,5.9
European Investment Bank,25.9,29.6,22.2,11.1,10.7,21.4,10.7,17.9,7.1,3.6,7.4,7.4,14.8,14.8,14.8,7.4,11.1,4.2,4.2,4.2,14.3
European Investment Fund,50,28.6,40,50,28.6,14.3,14.3,28.6,28.6,14.3,14.3,14.3,14.3,14.3,14.3,14.3,0,0,16.7,16.7,0
Total,20.3,20.3,17.5,13.8,11.7,15,10,15,10,6.8,5.3,5.4,8.8,10.7,10.7,7.3,7.5,3.9,6.4,6.4,8.3
