"Region","Women - Unpaid care work","Women - Unpaid domestic chores","Men - Unpaid care work","Men - Unpaid domestic chores"
"Developed regions (36)",0.6,3.5,0.3,2
"Central and Southern Asia (5)",0.7,3.7,0.2,1.2
"Eastern and South-Eastern Asia (8)",1,2.6,0.4,0.8
"Northern Africa and Western Asia (9)",0.8,3.5,0.2,0.7
"Sub-Saharan Africa (8)",0.6,2.9,0.2,1
"Latin America and the Caribbean (16)",1.4,3.7,0.5,1.3
