"Region","Women - Unpaid work","Women - Paid work","Men - Unpaid work","Men - Paid work"
"Developed regions (34)",4.083929,2.906071,2.247424,4.002576
"Eastern and South-Eastern Asia (8)",3.585394,3.644606,1.258259,5.421741
"Central and Southern Asia (5)",4.322727,2.217273,1.390909,4.799091
"Northern Africa and Western Asia (11)",4.335756,2.014244,0.892067,4.897933
"Sub-Saharan Africa (9)",3.49639,3.38361,1.161927,4.828073
"Latin America and the Caribbean (15)",4.777818,3.562182,1.688504,5.811496
