"Region","Family","Part-time","Remore","Maternity"
"Developed regions",24,13,8,23
"Latin America and the Caribbean",12,2,1,4
"Central and Southern Asia",1,0,1,1
"Sub-Saharan Africa",4,1,0,7
"Eastern and South-Eastern Asia",2,0,0,0
"Northern Africa and Western Asia",2,2,0,3
